last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Cole, Gerrit,R,98.3,98.3,,98.4,,26.6,73.3
Díaz, Edwin,R,98.3,,,,,29.3,
Goudeau, Ashton,R,98.3,,,98.9,,,87.6
Benjamin, Wes,L,98.2,,25.5,96,,,75.3
Thorpe, Lewis,L,98.2,,,96.9,,51.9,86.8
Anderson, Tyler,L,98.2,97,47,97.9,,,45.8
Paddack, Chris,R,98.2,,,93.2,,,96.6
Sulser, Cole,R,98.1,,,81.2,,43.8,72.8
Irvin, Cole,L,98.1,97.2,,99,,22.5,58.1
Morgan, Eli,R,98.1,,,88.1,,34.6,69
Bergen, Travis,L,98,,,,,,31.7
Walker, Taijuan,R,97.9,96.8,,,,37.5,75.2
Wilson, Justin,L,97.9,,63.2,,,40.1,
Moore, Matt,L,97.9,,73.2,99,,,69.2
Ryu, Hyun Jin,L,97.8,98.4,52.7,99.4,,34.4,84
Stashak, Cody,R,97.8,,,,,28.6,
Shreve, Chasen,L,97.8,,,,,44.2,
McClanahan, Shane,L,97.8,,,99.2,,25.2,51.1
Faria, Jake,R,97.8,,,,,37.8,92.9
Harvey, Matt,R,97.7,97.7,,97.2,,29,55.7
Gausman, Kevin,R,97.7,,,94,,20.4,
Abreu, Albert,R,97.7,98.3,,98.4,,23.4,
Buchter, Ryan,L,97.6,,46.4,,,,57.1
Steckenrider, Drew,R,97.6,,,98,,,47.2
Ríos, Yacksel,R,97.6,96.8,,,,27.4,
Sborz, Josh,R,97.6,,,,,12.6,83.6
Guerra, Deolis,R,97.5,97.9,,93.5,,40.6,98.4
Kennedy, Ian,R,97.5,,34.2,99.6,,,66.8
Pivetta, Nick,R,97.5,,,99.1,,34.9,92.9
Vest, Will,R,97.5,,,99.3,,32.1,
Whitlock, Garrett,R,97.5,97.3,,94.2,,35.4,
Hudson, Daniel,R,97.5,,,97.7,,24.9,
Howard, Sam,L,97.5,,,,,26.6,
Brogdon, Connor,R,97.4,,62.9,99.6,,,
Karinchak, James,R,97.4,,,,,,52.7
Howard, Spencer,R,97.4,,,99.5,,45,98.5
McGee, Jake,L,97.4,,,,,24.4,
Rodón, Carlos,L,97.4,,,98.9,,30.3,64.2
Diaz, Miguel,R,97.3,,,92.6,,40.5,
Ponce de Leon, Daniel,R,97.3,,56.6,97.5,,,67.9
McKenzie, Triston,R,97.3,,,96.9,,44.6,68.7
Littell, Zack,R,97.3,,,,,43.9,
Foster, Matt,R,97.2,,73.6,96,,29.9,
Bieber, Shane,R,97.2,,40.7,98.6,,17.2,83.9
López, Jorge,R,97.2,96.4,,98.2,,21.3,72.2
Eovaldi, Nathan,R,97.2,,67.9,,,40.9,78
Colomé, Alex,R,97.2,,47.4,,,,
Ynoa, Huascar,R,97.1,97,,99.1,,37.6,
Pérez, Martín,L,97.1,97.2,61.8,99.4,,,41.2
Means, John,L,97,,,98.1,,49.6,55.2
Hill, Tim,L,97,95.2,,,,46.1,
Akin, Keegan,L,97,,,94.9,,26.6,39.5
Webb, Jacob,R,97,,,97.5,,,67.8
Sawamura, Hirokazu,R,97,,,,,25.2,
Santillan, Tony,R,96.9,,,96.3,,45.4,
Wisler, Matt,R,96.9,,,,,23.4,
García, Deivi,R,96.9,,,99.2,,39.7,79.1
Rodríguez, Richard,R,96.9,,,,,47.4,
Nelson, Nick,R,96.9,,,99.5,,40.7,82.7
Stephenson, Robert,R,96.8,,,,,32.9,58.7
Milone, Tommy,L,96.7,,,95.4,,26.5,39.6
Gant, John,R,96.7,96.2,34.8,97.4,,24.7,79.8
Patton, Spencer,R,96.7,,,,,23.1,
Mills, Wyatt,R,96.7,90.1,,,,25.2,
Hendriks, Liam,R,96.7,,,,,20.5,70.4
Bednar, David,R,96.7,,,,,,79.4
Jackson, Luke,R,96.6,,,,,42.4,71.6
Megill, Tylor,R,96.5,,,98.1,,26.3,
Duffy, Danny,L,96.4,94,,92.3,,39.6,92.5
Nola, Aaron,R,96.4,95.5,48.3,99.3,,,87.3
Bettinger, Alec,R,96.3,,58.4,,,,83.3
Weaver, Luke,R,96.2,,54.4,84.1,,,
Farmer, Buck,R,96.1,,,86.9,,15.3,
Brothers, Rex,L,96.1,,,,,13.9,
Alcala, Jorge,R,95.9,,,96.9,,32.1,
Gray, Jon,R,95.8,,,97.5,,30.5,75.9
Dayton, Grant,L,95.8,,,,,,69.9
Abbott, Cory,R,95.8,,,95.6,,58,66.3
Plutko, Adam,R,95.7,,65.5,,,39.3,67
Foltynewicz, Mike,R,95.7,95.1,,97.8,,25.7,42.2
Quantrill, Cal,R,95.7,96.2,,95.5,,28.4,28.5
Lambert, Jimmy,R,95.6,,,99,,27.1,
Feliz, Michael,R,95.6,,,,,41.8,
Cole, A.J.,R,95.5,,69.7,,,26.4,43.3
Kopech, Michael,R,95.5,,,90.3,,36.5,57.2
Peralta, Wandy,L,95.4,96.1,,88.6,,30,
Newsome, Ljay,R,95.4,,,79.5,,,37.9
Kremer, Dean,R,95.4,,50.9,93.2,,,90.4
Gonsolin, Tony,R,95.4,,,,,26.2,65.2
Dunn, Justin,R,95.3,,,87.9,,39.6,56.1
Tepera, Ryan,R,95.3,97.7,,91.1,,36.6,
Fiers, Mike,R,95.3,93.1,,87,,57.4,88.6
Roark, Tanner,R,95.2,94.1,,99.5,,64.5,85.5
Gilbert, Logan,R,95.2,,,97.2,,41.1,72.3
Falter, Bailey,L,95.2,95.6,,96.7,,57.2,52.6
Peralta, Wily,R,95.2,,,93.5,,19.7,
Detwiler, Ross,L,95.2,94.8,22,96.1,,,69.9
Cody, Kyle,R,95.2,94.7,,99.1,,51,
Lynch, Daniel,L,95.1,,,99.5,,13.1,
Devenski, Chris,R,95.1,,,86.7,,49.8,
Chafin, Andrew,L,95.1,93.9,,,,26.6,
Crochet, Garrett,L,95.1,,,99,,35.2,
Workman, Brandon,R,95,,45.2,,,,83.7
Staumont, Josh,R,95,88.1,,,,,87.7
Peterson, David,L,95,95.7,,98.8,,24.8,
Feyereisen, J.P.,R,95,,,90.1,,29.2,
Arihara, Kohei,R,94.8,93.7,58.3,89.2,,31.5,82.3
Allard, Kolby,L,94.8,,44.1,98.9,,,74.9
DeSclafani, Anthony,R,94.7,93.3,,97,,32.7,70.1
Kelly, Joe,R,94.6,92.9,,99.3,,,58.4
LeBlanc, Wade,L,94.6,94.6,60.6,99,,,65.1
Sanchez, Aaron,R,94.6,94.1,,97.6,,,80.9
Bradley, Archie,R,94.5,95.8,,98.8,,,77.8
Skubal, Tarik,L,94.5,93.7,92.2,98,,25.3,84.6
Álvarez, José,L,94.4,94.9,48,88.3,,33,
Tate, Dillon,R,94.4,91,,99.1,,26.8,
Lange, Alex,R,94.4,,,97.8,,66.4,
Wells, Tyler,R,94.3,95.5,,96.1,,51.1,55
Ray, Robbie,L,94.3,,,97,,43.6,13.4
Stripling, Ross,R,94.2,,,90.6,,41,79.7
Oviedo, Luis,R,94.2,,,88.5,,43,94.8
Alvarado, José,L,94.2,92.4,34.8,,,,63.9
Rainey, Tanner,R,94.1,,,,,21.4,
Javier, Cristian,R,94.1,,,97.5,,37.4,79.6
deGrom, Jacob,R,94.1,,,89.7,,34,
Ponce, Cody,R,94.1,,53.6,,,34,82.4
Anderson, Chase,R,94.1,93.4,46.1,99.6,,,92.1
Cortes, Nestor,L,93.8,,,98.9,,35.9,45.4
Kikuchi, Yusei,L,93.7,,51.9,87.2,,30,
Wittgren, Nick,R,93.6,,,82.9,,27.9,
Bauer, Trevor,R,93.5,91.7,26.5,91.5,,60.2,93.9
Rodríguez, Joely,L,93.5,91.6,,97.6,,35.3,
Brice, Austin,R,93.5,95.1,,,,,39.8
Hendricks, Kyle,R,93.5,86.3,,84.8,,,80.8
Coonrod, Sam,R,93.4,91.4,,91.3,,31.7,
Zuber, Tyler,R,93.4,,,92.1,,42,72.8
Lugo, Seth,R,93.4,90.9,,93.7,,39.7,89.5
Abreu, Bryan,R,93.2,94,,,,30.5,67.2
Price, David,L,93.2,92,63.7,99.3,,,58.4
Espino, Paolo,R,93.2,,,91.5,,64.5,99.1
Shoemaker, Matt,R,93.1,92.1,,,,17.6,40.7
Kintzler, Brandon,R,93.1,92,,96,,15.5,
Wieck, Brad,L,93.1,,,,,,96.2
Brubaker, JT,R,93.1,90.3,,89.8,,19.2,58.5
Cueto, Johnny,R,93.1,91.7,70.5,77.2,,31.7,21.1
Smith, Joe,R,93.1,95.7,,97.2,,58.9,
May, Dustin,R,92.9,90.6,30.2,,,,58.5
Margevicius, Nick,L,92.9,,,,,64.2,76.2
Hill, Rich,L,92.9,87.3,45.1,96.4,,89.7,95.3
López, Yoan,R,92.9,,,,,41.8,
Rodriguez, Nivaldo,R,92.8,98.3,,92.7,,42.4,42.5
Gutierrez, Vladimir,R,92.8,,,96.4,,29.6,72.6
Martin, Chris,R,92.8,91,45.4,83.2,,66,
Kimbrel, Craig,R,92.8,,,,,,64.2
Bubic, Kris,L,92.8,,,96.7,,,82.6
Ruiz, José,R,92.7,,,87.6,,52.5,53.3
Mayers, Mike,R,92.6,,64.2,,,18.1,
Lyles, Jordan,R,92.6,86.9,,98,,30.8,80.6
Smith, Drew,R,92.6,,38.9,99.5,,,74.3
Mize, Casey,R,92.6,93.2,,,,26,80.1
Dobnak, Randy,R,92.5,87.3,,96.9,,20,
Floro, Dylan,R,92.5,93,,93.4,,50,
Allen, Logan,L,92.4,,,95.7,,40.6,67.1
Boxberger, Brad,R,92.3,,,92.7,,52.8,
Snell, Blake,L,92.3,,,97.7,,27.7,80.1
Bedrosian, Cam,R,92.3,,,,,54.6,
Ginkel, Kevin,R,92.2,,,,,29.7,
Curtiss, John,R,92.1,,,,,23.1,
Webb, Tyler,L,92,91.1,,98.7,,,61.7
Smith, Burch,R,91.9,,,97.4,,,83.4
Underwood Jr., Duane,R,91.9,84.5,,93.6,,,73.5
Montas, Frankie,R,91.7,91.3,,,,33.8,
Smith, Will,L,91.7,,,,,26.3,57.8
Kaprielian, James,R,91.7,92.3,,62.1,,24.1,58.8
Parker, Blake,R,91.7,,,,,,71
Clarke, Taylor,R,91.7,,,91.9,,30.5,72.8
Misiewicz, Anthony,L,91.6,,36,,,,59.2
Flexen, Chris,R,91.6,,54.7,98.7,,,72.9
Gsellman, Robert,R,91.6,92.8,,99.3,,46.5,
Houser, Adrian,R,91.6,88.9,,85.6,,33.9,95.5
Strasburg, Stephen,R,91.5,88.5,,84.6,,,74.5
Cahill, Trevor,R,91.5,87.5,27.8,87.7,,,67.2
Iglesias, Raisel,R,91.4,93.1,,87.2,,33.4,
Hernández, Carlos,R,91.4,93.5,,91.4,,27.1,69.2
Morton, Charlie,R,91.4,93.5,24,99.2,,,80.5
Quintana, José,L,91.4,91.7,,96.6,,,59.5
Funkhouser, Kyle,R,91.3,87.2,,93.5,,26.8,
Alzolay, Adbert,R,91.3,91.8,,93.6,,37,36.8
Happ, J.A.,L,91.3,83.4,,97.2,,25,37
Swarzak, Anthony,R,91.3,,,,,28.4,
Watson, Tony,L,91.2,94,,99.4,,18.2,
Castillo, Diego,R,91.2,89.1,,,,14,
Reid-Foley, Sean,R,91.2,,,72.9,,35.4,
Kela, Keone,R,91.1,,,,,,48
Berríos, José,R,90.9,95.4,,95.3,,,52.4
Jiménez, Joe,R,90.8,,,87.4,,25.7,
Kinley, Tyler,R,90.7,,,97.7,,35.1,
Phelps, David,R,90.5,91.9,61,,,,48.9
McGowin, Kyle,R,90.5,88.7,,,,44.5,
Alcantara, Sandy,R,90.5,89.9,,87.3,,16.6,37.3
Garrett, Amir,L,90.4,,,,,16.4,
Yamamoto, Jordan,R,90.4,65.3,33.8,69.8,,54.8,
Romano, Jordan,R,90.4,,,,,25.8,
Brach, Brad,R,90.4,,,77,,36.4,
Manning, Matt,R,90.3,,,94.5,,66.9,
Garrett, Braxton,L,90.2,,,95,,35.2,80.6
Sims, Lucas,R,90.2,,,,,32.3,54.4
Claudio, Alex,L,90.2,89.7,,97.5,,34,
Green, Chad,R,90.1,,,,,,45
Sceroler, Mac,R,90.1,,,,,33.5,85.4
Hearn, Taylor,L,90,88.4,,84.6,,39,
Davidson, Tucker,L,90,,,,,32.9,71
Duplantier, Jon,R,90,91.9,,99.3,,41,69.5
Burr, Ryan,R,89.9,,29.8,,,71.3,
Boyd, Matthew,L,89.8,88.8,,87.4,,32.1,93.8
Rasmussen, Drew,R,89.7,,,95.4,,25.1,
Cisnero, José,R,89.7,92.1,,95.6,,29.4,
Middleton, Keynan,R,89.6,,,75.2,,21.3,
Hembree, Heath,R,89.6,,,,,36.7,
Ureña, José,R,89.5,85.5,,93.9,,27.8,
Alexander, Tyler,L,89.5,92.7,45.1,93.3,,30.5,
Thielbar, Caleb,L,89.5,,,,,40.2,96.7
Tomlin, Josh,R,89.5,,52.5,,,,45.3
Martin, Corbin,R,89.4,,,71.3,,36.3,53.6
Cease, Dylan,R,89.4,,,88.1,,40.3,91.2
Martin, Brett,L,89.3,85.7,,,,42.8,42.3
Cessa, Luis,R,89.3,87.2,,85.2,,26.2,
Scherzer, Max,R,89.3,,47,98.3,,23.7,69.2
Reyes, Alex,R,89.2,89.5,,96.9,,36.6,98.3
Minter, A.J.,L,89.2,,28.5,89,,,
Petit, Yusmeiro,R,89.2,,79.7,94.2,,,57
Bundy, Dylan,R,89.1,91.7,,90.2,,29.5,78.6
Reed, Cody,L,89.1,91.4,,,,29.9,
Garcia, Luis,R,88.9,,36.4,99,,61.4,82.9
Frankoff, Seth,R,88.8,,,99.3,,42,88.9
McHugh, Collin,R,88.8,,33.6,,,58.6,81.6
Bumgarner, Madison,L,88.8,,45.2,94.4,,,61.4
Guerra, Junior,R,88.8,89.2,,,,,50
Farrell, Luke,R,88.8,,,,,17.4,78.8
Barria, Jaime,R,88.7,,,,,29.6,
Law, Derek,R,88.7,,,,,28.4,66.6
May, Trevor,R,88.6,,,93,,36.8,
Voth, Austin,R,88.6,,52.6,,,,74.9
Soria, Joakim,R,88.5,,,78.7,,71.1,98.6
Chapman, Aroldis,L,88.5,88.1,,,,44.7,
Wheeler, Zack,R,88.5,91.2,,98.2,,37.8,69.1
De Jong, Chase,R,88.2,,,98.2,,25.3,76.1
Mills, Alec,R,88.2,88,,83,,54.9,77.8
Nelson, Kyle,L,88.2,,44.1,,,50.5,
Sheffield, Jordan,R,88.2,,,99.5,,30.9,
Eflin, Zach,R,88.2,85.6,,98.2,,47.6,65.2
Romero, JoJo,L,88.1,85.4,,94.3,,32.4,
Gilbreath, Lucas,L,88.1,,84.1,,,35,
Loaisiga, Jonathan,R,88,88.7,,96,,,38.8
Pineda, Michael,R,87.9,,,92,,12.4,
Payamps, Joel,R,87.9,88.6,,83.8,,42.5,
Pagán, Emilio,R,87.9,,32.3,,,,
Treinen, Blake,R,87.9,90.4,38.6,,,40.1,
Lamet, Dinelson,R,87.8,90,,89.2,,19.2,
Gibson, Kyle,R,87.8,84.3,48.8,85.7,,36,56.8
Jones, Nate,R,87.7,90.5,,,,14,
Holloway, Jordan,R,87.7,,,,,33.2,73.5
Holland, Greg,R,87.6,,,,,32.7,59.3
Garza Jr., Ralph,R,87.6,88.9,68.7,99.5,,,65.9
Hentges, Sam,L,87.5,77,,,,19.6,83.6
Rogers, Trevor,L,87.4,,,89.3,,20.5,
Brentz, Jake,L,87.4,91.2,,95.8,,29.4,
Montgomery, Jordan,L,87.4,89.3,49.3,99.3,,,44.2
Suarez, José,L,87.3,,,77.6,,,53.9
Hendrix, Ryan,R,87.3,,,,,24.5,
Young, Alex,L,87.3,78.1,35.8,83.9,,,18.8
Darvish, Yu,R,87.2,89.2,30.9,,,52.7,82.2
Montero, Rafael,R,87.2,83.4,,87.8,,32.3,
Mantiply, Joe,L,87.1,90.5,,99.7,,,43.4
Fulmer, Carson,R,87,,25.1,95.4,,,55.8
Woodford, Jake,R,87,86.8,,,,37.6,96.5
Woodruff, Brandon,R,86.9,88.8,,87.2,,30,66.6
Yang, Hyeon-Jong,L,86.8,,,89.3,,31.1,84
Buehler, Walker,R,86.8,83.8,46.5,93.3,,51.5,85.2
Velasquez, Vince,R,86.7,87.5,,93.7,,35.8,70.8
King, Michael,R,86.6,85.5,,99.1,,36.1,63
Bukauskas, J.B.,R,86.6,,,85.9,,20.6,
Matzek, Tyler,L,86.6,,,,,50,73.2
Miley, Wade,L,86.6,88.2,48.2,85.9,,31.3,65.4
Corbin, Patrick,L,86.5,85.4,47,97.4,,26.2,33.2
Andriese, Matt,R,86.4,,19.6,24.1,,,71.3
Barnes, Jacob,R,86.4,,44.3,90.4,,,
Bickford, Phil,R,86.3,,,,,42.5,
Trivino, Lou,R,86.2,89.1,57.4,98.9,,,84.3
Hand, Brad,L,86.1,88.8,,,,63.2,
Maeda, Kenta,R,86.1,79,,,,20.6,76.4
Warren, Art,R,86,,,,,34.4,
Pérez, Cionel,L,86,,,93.1,,47.1,
Marshall, Evan,R,86,92.7,,95.9,,,61.2
Menez, Conner,L,86,,,,,30.5,54.4
White, Mitch,R,85.9,,,,,25.9,72.8
Soto, Gregory,L,85.9,88.5,,,,31.9,
Winkler, Dan,R,85.8,80.9,57.4,,,,50.9
Thompson, Ryan,R,85.6,90.4,25.4,,,70.4,
Peralta, Freddy,R,85.6,,,90.8,,54.4,68.2
Graveman, Kendall,R,85.6,91.3,,91.7,,33.3,
Neris, Héctor,R,85.5,88.4,,,,34.5,
Familia, Jeurys,R,85.4,81.4,,,,24.2,
Civale, Aaron,R,85.3,84.2,49.8,,,44.6,78.6
Rodriguez, Eduardo,L,85.3,86.9,51.2,89.9,,32.8,
Ober, Bailey,R,85.3,,,99,,52.9,86.8
Castillo, Luis,R,85.3,86.5,,82.7,,17.3,
Tice, Ty,R,85.2,,,,,44.3,68.8
Zimmer, Kyle,R,85.2,,,,,21.8,91.1
Sandoval, Patrick,L,85.1,86.4,,98.3,,32.8,66.5
Keller, Mitch,R,85.1,,,95.2,,28.3,91
Beasley, Jeremy,R,85.1,,,93.1,,42.2,
Bassitt, Chris,R,85,89.2,50.9,95.6,,72.6,93.9
Wilson, Bryse,R,84.9,82.4,,95.3,,32.2,70.1
Dugger, Robert,R,84.9,86.7,,98.4,,35.1,66.2
Kim, Kwang Hyun,L,84.7,88.2,,93.3,,38.7,64.9
Ross, Joe,R,84.6,82,,92.6,,29.3,
Muller, Kyle,L,84.6,,,,,23.9,70.7
Newcomb, Sean,L,84.5,,23.5,,,,91.6
Martínez, Carlos,R,84.4,82.6,51.2,84,,39,
Pomeranz, Drew,L,84.2,,,,,,76.6
Stephan, Trevor,R,84.2,,,90.8,,50.5,
Head, Louis,R,84.1,,,,,60.7,
Mazza, Chris,R,83.9,92.7,47.8,,,41.7,
Almonte, Yency,R,83.6,85.6,,99,,40.2,
Kershaw, Clayton,L,83.6,,,,,46.3,77.6
Lindblom, Josh,R,83.5,89.6,50.3,98.8,,55.5,81.6
Fulmer, Michael,R,83.5,84.1,,87.1,,43.2,77.1
Sewald, Paul,R,83.5,,,,,43.8,
Gallen, Zac,R,83.5,,69.2,90.1,,44.9,73.8
Kay, Anthony,L,83.1,,24.4,90.1,,55.6,71.2
Leone, Dominic,R,83.1,,33.6,,,40,
Perdomo, Angel,L,83.1,,,90.3,,46.3,
Suárez, Ranger,L,83,82.6,,91.5,,29.2,
Hale, David,R,83,82.7,,94.2,,,38.5
Sandlin, Nick,R,82.9,81.4,,,,56.7,
Márquez, Germán,R,82.9,82.2,,94,,14.3,33.3
Taillon, Jameson,R,82.8,86.1,,94.4,,42.2,77.3
Burdi, Zack,R,82.7,,,99.4,,22.5,
Thompson, Keegan,R,82.7,,39.5,97.3,,,72.8
Cleavinger, Garrett,L,82.6,,,,,54.5,
Bolaños, Ronald,R,82.6,84.5,,,,41.6,62.7
Widener, Taylor,R,82.6,,,91.4,,32.2,
Santana, Ervin,R,82.6,,,87.8,,30.4,
Taylor, Josh,L,82.6,84.1,,,,29.8,60.1
Valdez, César,R,82.5,83.3,,70.3,,39,
Davis, Wade,R,82.5,75.7,38.7,,,,70.1
Thornton, Trent,R,82.5,,46.6,80.3,,,66
Slegers, Aaron,R,82.4,83.7,,73,,22.6,
Germán, Domingo,R,82.3,82.3,,85,,,28.1
Rogers, Tyler,R,81.9,79.2,,,,68,
Campbell, Paul,R,81.9,,,,,40.3,63
Pop, Zach,R,81.8,80.8,,,,37.2,
Sherfy, Jimmie,R,81.7,,,,,55.6,
Urías, Julio,L,81.7,,,90.2,,,47.5
Norris, Daniel,L,81.6,,,76.4,,23.2,
Senzatela, Antonio,R,81.5,84.5,,60.2,,41,67.8
Stewart, Kohl,R,81.5,78.2,51,85.9,,46.7,
Nance, Tommy,R,81.5,81.1,,,,45.6,70.5
Crismatt, Nabil,R,81.5,81.8,,76.9,,,99.4
Chacín, Jhoulys,R,81.3,80.4,,86.1,,46.5,45
Waddell, Brandon,L,81.3,,,,,23.2,
Adam, Jason,R,81.1,,,90.2,,46.4,78.3
Chatwood, Tyler,R,80.9,80.8,25.1,84.4,,,70
Crowe, Wil,R,80.8,76.7,,58.1,,38.7,77
Ohtani, Shohei,R,80.8,,35.4,,,64.6,90.2
Zimmermann, Bruce,L,80.6,,,98.8,,19.7,39.9
Bielak, Brandon,R,80.6,73.9,46.7,91.1,,36.4,84.4
Patiño, Luis,R,80.5,75.5,,92.3,,45,54.1
